epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.08124999701976776,18.429805755615234
0,8,0.11152416467666626,,,
1,17,,,0.11874999850988388,7.151785373687744
1,17,0.14312267303466797,,,
2,26,,,0.17499999701976776,3.6326305866241455
2,26,0.2620817720890045,,,
3,35,,,0.2750000059604645,2.9825949668884277
3,35,0.37546467781066895,,,
4,44,,,0.2874999940395355,2.6106162071228027
4,44,0.4814126491546631,,,
5,49,,1.2213985919952393,,
5,53,,,0.26249998807907104,2.763753652572632
5,53,0.524163544178009,,,
6,62,,,0.2750000059604645,2.9122889041900635
6,62,0.5817843675613403,,,
7,71,,,0.26875001192092896,2.8649442195892334
7,71,0.5706319808959961,,,
8,80,,,0.25,3.243840456008911
8,80,0.6263940334320068,,,
9,89,,,0.26249998807907104,3.365405321121216
9,89,0.6338289976119995,,,
