epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,8,,,,0.05714285746216774,102.75403594970703
0,8,,0.04838709533214569,,,
1,17,,,,0.05714285746216774,9.88042163848877
1,17,,0.04838709533214569,,,
2,26,,,,0.04285714402794838,5.168664932250977
2,26,,0.08422938734292984,,,
3,35,,,,0.10000000149011612,3.2689430713653564
3,35,,0.10752688348293304,,,
4,44,,,,0.12142857164144516,3.1987991333007812
4,44,,0.1505376398563385,,,
5,49,,,2.8773698806762695,,
5,53,,,,0.1071428582072258,3.3743276596069336
5,53,,0.14516128599643707,,,
6,62,,,,0.12857143580913544,2.8047168254852295
6,62,,0.17025089263916016,,,
7,71,,,,0.18571428954601288,2.59784197807312
7,71,,0.22043010592460632,,,
8,80,,,,0.12857143580913544,2.9099197387695312
8,80,,0.36200717091560364,,,
9,89,,,,0.18571428954601288,2.7190418243408203
9,89,,0.44265231490135193,,,
10,98,,,,0.22857142984867096,2.5568816661834717
10,98,,0.4516128897666931,,,
11,99,,,1.5112189054489136,,
11,107,,,,0.26428571343421936,2.5326755046844482
11,107,,0.6290322542190552,,,
12,116,,,,0.30000001192092896,3.0142147541046143
12,116,,0.5806451439857483,,,
13,125,,,,0.30714285373687744,2.4596433639526367
13,125,,0.7078853249549866,,,
14,134,,,,0.27142858505249023,2.418550491333008
14,134,,0.7670251131057739,,,
15,143,,,,0.37857142090797424,2.3513171672821045
15,143,,0.7939068078994751,,,
16,149,,,0.707787275314331,,
16,152,,,,0.37142857909202576,2.5445404052734375
16,152,,0.7634408473968506,,,
17,161,,,,0.3499999940395355,2.7143521308898926
17,161,,0.8548387289047241,,,
18,170,,,,0.2928571403026581,3.383981704711914
18,170,,0.8548387289047241,,,
19,179,,,,0.3571428656578064,2.532444715499878
19,179,,0.897849440574646,,,
20,188,,,,0.27142858505249023,3.895427703857422
20,188,,0.9318996667861938,,,
21,189,0.39743590354919434,,,,
